latitude,longitude,country_id
40.479650,-88.990905,USA
40.696644,-89.583765,USA
50.790729,6.059715,DEU
43.657860,-94.095722,USA
40.842898,-97.991592,USA
23.785816,90.401475,BGD
-34.926258,138.598728,AUS
-27.625033,152.865673,AUS
-33.873910,151.201359,AUS
-37.820265,145.007931,AUS
51.712732,-0.409747,GBR
45.046332,-93.197356,USA
-41.281023,174.779151,NZL
32.505045,-99.779664,USA
8.924170,-79.593780,PAN
43.224748,27.900239,BGR
38.289812,-0.611499,ESP
44.807776,20.391395,SRB
51.506140,-0.001340,GBR
10.654380,77.003166,IND
50.123790,8.739079,DEU
27.694031,85.320662,NPL
42.754157,-84.556996,USA
35.895741,-78.849173,USA
40.531754,-3.659719,ESP
41.378889,2.143841,ESP
24.849685,121.181645,TWN
34.532682,69.187174,AFG
38.022690,23.730796,GRC
47.042772,8.321449,CHE
41.808851,12.436415,ITA
41.349274,2.136127,ESP
22.547235,113.936857,CHN
32.906750,-97.396010,USA
41.642014,-0.752836,ESP
40.089196,116.556767,CHN
32.084041,34.887762,ISR
45.907823,6.102814,FRA
50.443836,30.509127,UKR
41.487885,2.111579,ESP
40.516162,-3.335063,ESP
17.078627,78.144490,IND
19.106813,73.016602,IND
28.616262,77.366132,IND
17.696640,83.159245,IND
34.757641,135.712694,JPN
49.221432,17.647495,CZE
-22.706501,-43.237432,BRA
-23.599202,-46.686661,BRA
35.810444,140.095738,JPN
35.783425,140.058567,JPN
35.611874,139.403558,JPN
35.723190,139.369950,JPN
-20.112364,57.516299,MUS
-35.333708,149.182166,AUS
10.143858,-64.687727,VEN
-35.209856,149.140819,AUS
54.310451,10.132462,DEU
-34.908877,138.531479,AUS
-30.012677,-51.205409,BRA
55.665170,12.371218,DNK
32.108686,34.968843,ISR
32.061711,34.788543,ISR
52.205960,20.944750,POL
51.210239,4.419342,BEL
52.183242,20.997205,POL
43.329219,-3.085041,ESP
43.068112,-2.507071,ESP
47.062023,2.363493,FRA
43.542919,1.510712,FRA
43.146609,1.606614,FRA
45.048637,5.086394,FRA
45.458889,4.396350,FRA
55.057999,82.789180,RUS
10.000339,-84.185666,CRI
44.480798,26.120091,ROU
35.757683,51.406290,IRN
41.119989,16.857576,ITA
42.950222,-78.740705,USA
-35.721979,174.319880,NZL
59.416894,17.927704,SWE
-40.352384,175.610568,NZL
-34.408353,-58.693215,ARG
-34.462138,-58.685289,ARG
51.186472,-0.601666,GBR
65.805705,21.684931,SWE
35.616156,-88.816021,USA
1.116821,104.049541,IDN
55.753950,12.447186,DNK
55.695727,12.414443,DNK
14.291943,121.069393,PHL
35.697503,51.412834,IRN
-8.808209,13.243107,AGO
8.458407,-13.278491,SLE
40.081783,-75.336045,USA
50.503358,4.720056,BEL
40.392841,21.929892,GRC
43.648576,3.972641,FRA
35.904891,128.861170,KOR
48.152739,11.599606,DEU
50.367718,-105.544771,CAN
13.725633,100.525815,THA
2.917919,101.655526,MYS
2.909955,101.653573,MYS
3.143772,101.699301,MYS
39.138670,-76.606040,USA
55.603109,-4.623674,GBR
28.118716,-15.429123,ESP
40.438089,-3.625634,ESP
39.551292,-0.463368,ESP
11.935989,79.818986,IND
10.239815,-61.373186,TTO
35.044853,-85.304017,USA
19.172455,73.000937,IND
-4.604602,55.462220,SYC
-6.769824,39.241286,TZA
53.285781,-9.030761,IRL
33.748108,-117.152151,USA
51.896192,-0.210890,GBR
21.039482,-89.654301,MEX
35.054652,-78.882739,USA
50.094964,8.629063,DEU
51.205797,71.458861,KAZ
11.081407,76.989516,IND
53.618125,10.009836,DEU
53.601697,10.190671,DEU
53.703237,9.993989,DEU
44.806649,20.434146,SRB
46.063726,14.515227,SVN
43.855442,18.400866,BIH
41.989153,21.456029,MKD
45.744852,15.999885,HRV
38.421337,27.185818,TUR
41.336746,19.740583,ALB
43.560283,2.270470,FRA
48.621311,2.553468,FRA
48.844711,2.804073,FRA
43.242798,-78.188512,USA
52.465058,13.372815,DEU
22.245465,114.160508,HKG
33.691606,-117.843058,USA
46.989635,28.859292,MDA
59.935819,10.829796,NOR
-34.773545,-58.483606,ARG
-18.920926,-48.309051,BRA
-18.873962,-48.245444,BRA
23.654336,114.720157,CHN
